OBJECTID,ClosestID,FileName,POINT_X,POINT_Y
1,6966,sg_006966.soil,18.458333333000041,-31.958333332999928
2,6971,sg_006971.soil,18.375000001000046,-31.958333332999928
3,6972,sg_006972.soil,18.541666667000072,-31.874999999999943
4,6980,sg_006980.soil,18.541666667000072,-32.874999999999943
5,6983,sg_006983.soil,18.375000000000057,-32.124999999999943
6,7005,sg_007005.soil,18.208333333000041,-32.874999999999943
7,7006,sg_007006.soil,17.958333334000031,-32.791666666999959
8,7007,sg_007007.soil,18.041666667000072,-32.791666666999959
9,7008,sg_007008.soil,18.041666667000072,-32.958333332999985
10,7009,sg_007009.soil,18.125000000000057,-33.041666666999959
11,7010,sg_007010.soil,18.458333333000041,-32.958333332999985
12,7011,sg_007011.soil,18.125000000000057,-32.874999999999943
13,7012,sg_007012.soil,18.541666667000072,-32.958333332999985
14,7055,sg_007055.soil,18.541666667000072,-33.708333332999985
15,7056,sg_007056.soil,18.625000000000057,-33.624999999999943
16,7057,sg_007057.soil,18.541666667000072,-33.541666666999959
17,7058,sg_007058.soil,18.541666667000072,-33.624999999999943
18,7074,sg_007074.soil,18.375000000000057,-33.374999999999943
19,7075,sg_007075.soil,18.625000000000057,-33.208333332999985
20,7111,sg_007111.soil,18.536249366000050,-33.887821198999973
21,7113,sg_007113.soil,18.458333333000041,-34.291666666999959
22,7114,sg_007114.soil,18.375000000000057,-34.124999999999943
23,7115,sg_007115.soil,18.625000000000057,-33.874999999999943
24,7116,sg_007116.soil,18.375000000000057,-34.041666666999959
25,7118,sg_007118.soil,18.541666667000072,-34.041666666999959
26,6935,sg_006935.soil,20.791666667000072,-32.624999999999943
27,6946,sg_006946.soil,22.958333333000041,-31.791666666999959
28,6962,sg_006962.soil,21.541666667000072,-31.958333332999928
29,6964,sg_006964.soil,22.958333333000041,-32.041666666999959
30,6967,sg_006967.soil,18.958333333000041,-31.958333332999928
31,6976,sg_006976.soil,23.625000000000057,-32.791666666999959
32,6977,sg_006977.soil,20.291666668000062,-32.791666666999959
33,6978,sg_006978.soil,19.458333333000041,-33.374999999999943
34,6979,sg_006979.soil,18.791666667000072,-32.958333332999985
35,6981,sg_006981.soil,18.875000000000057,-32.541666666999959
36,6982,sg_006982.soil,18.791666667000072,-32.208333332999985
37,6984,sg_006984.soil,23.041666667000072,-32.874999999999943
38,6991,sg_006991.soil,24.124999999000067,-33.124999999999943
39,6994,sg_006994.soil,19.375000000000057,-33.291666666999959
40,6995,sg_006995.soil,19.541666667000072,-32.791666666999959
41,6996,sg_006996.soil,19.291666667000072,-32.874999999999943
42,6997,sg_006997.soil,20.625000000000057,-33.041666666999959
43,6998,sg_006998.soil,20.958333333000041,-33.124999999999943
44,6999,sg_006999.soil,21.125000000000057,-33.291666666999959
45,7000,sg_007000.soil,22.041666667000072,-33.124999999999943
46,7001,sg_007001.soil,22.125000000000057,-33.208333332999985
47,7002,sg_007002.soil,18.958333333000041,-32.874999999999943
48,7003,sg_007003.soil,18.875000000000057,-32.958333332999985
49,7004,sg_007004.soil,18.958333333000041,-32.958333332999985
50,7013,sg_007013.soil,18.791666667000072,-33.124999999999943
51,7017,sg_007017.soil,23.625000000000057,-33.791666666999959
52,7018,sg_007018.soil,23.708333333000041,-33.791666666999959
53,7019,sg_007019.soil,23.958333333000041,-33.874999999999943
54,7032,sg_007032.soil,19.875000000000057,-33.374999999999943
55,7033,sg_007033.soil,19.375000000000057,-33.624999999999943
56,7034,sg_007034.soil,19.541666667000072,-33.624999999999943
57,7035,sg_007035.soil,19.291666667000072,-33.708333332999985
58,7036,sg_007036.soil,19.708333333000041,-33.458333332999985
59,7037,sg_007037.soil,19.291666667000072,-33.624999999999943
60,7038,sg_007038.soil,19.625000000000057,-33.458333332999985
61,7039,sg_007039.soil,19.458333333000041,-33.541666666999959
62,7040,sg_007040.soil,19.457758701000046,-33.620572401999937
63,7041,sg_007041.soil,18.874999999000067,-33.708333332999985
64,7042,sg_007042.soil,18.958333333000041,-33.541666666999959
65,7043,sg_007043.soil,19.125000000000057,-33.708333332999985
66,7044,sg_007044.soil,18.875000000000057,-33.624999999999943
67,7045,sg_007045.soil,19.033557355000028,-33.207347371999958
68,7046,sg_007046.soil,18.958333333000041,-33.458333332999985
69,7047,sg_007047.soil,19.875000000000057,-33.541666666999959
70,7048,sg_007048.soil,19.791666667000072,-33.791666666999959
71,7049,sg_007049.soil,19.125000000000057,-33.291666666999959
72,7050,sg_007050.soil,19.208333333000041,-33.458333332999985
73,7051,sg_007051.soil,19.291666667000072,-33.291666666999959
